id,carat,cut,color,clarity,depth,table,x,y,z,price
240,0.5,Ideal,G,VS1,61.5,56.0,5.11,5.15,3.16,1752
812,0.91,Ideal,G,VS2,61.5,57.0,6.22,6.28,3.85,4415
1824,0.4,Ideal,G,SI1,62.1,57.0,4.71,4.64,2.91,700
1244,0.7,Ideal,F,VS1,61.7,57.0,5.68,5.71,3.52,2724
1084,1.51,Ideal,H,VS2,62.9,55.0,7.31,7.36,4.62,10453
579,0.54,Ideal,F,VVS2,61.6,55.0,5.27,5.24,3.23,2333
365,1.04,Premium,H,SI1,60.2,59.0,6.61,6.66,3.99,5161
1746,0.34,Ideal,G,VS2,61.4,55.0,4.54,4.51,2.78,596
1239,1.0,Ideal,E,SI1,61.0,57.0,6.46,6.41,3.92,5356
1646,0.3,Ideal,G,VVS1,62.4,55.0,4.26,4.3,2.67,764
1344,0.41,Ideal,I,VVS2,61.6,57.0,4.81,4.77,2.94,1046
1580,1.56,Premium,H,SI1,61.0,58.0,7.44,7.47,4.54,8524
985,0.44,Premium,D,SI1,61.9,59.0,4.86,4.88,3.02,990
71,0.23,Very Good,F,VVS2,60.9,58.0,3.94,3.97,2.42,530
1022,0.51,Very Good,G,VS1,62.9,60.0,5.01,5.07,3.18,1611
259,0.51,Ideal,D,VS2,61.8,56.0,5.12,5.14,3.17,1956
51,0.31,Very Good,H,VS1,62.9,55.0,4.33,4.35,2.73,541
198,1.5,Premium,G,VS1,62.1,62.0,7.16,7.09,4.42,11520
1189,0.43,Ideal,E,VS2,60.9,57.0,4.88,4.9,2.98,1048
1760,0.7,Premium,D,SI1,60.4,59.0,5.78,5.74,3.49,2509
332,1.01,Very Good,F,VS2,63.3,58.0,6.3,6.33,4.0,6190
1358,0.74,Very Good,G,SI1,62.0,56.0,5.81,5.84,3.61,2749
591,0.43,Premium,E,SI1,61.9,59.0,4.87,4.83,3.0,919
554,2.04,Good,I,IF,63.8,61.0,7.93,8.0,5.14,18659
1596,0.3,Ideal,F,SI1,62.3,57.0,4.31,4.34,2.69,612
1736,0.31,Ideal,E,VS2,60.6,57.0,4.4,4.42,2.68,627
1441,0.75,Premium,E,SI1,58.5,60.0,5.97,6.0,3.51,3267
1811,2.21,Very Good,H,SI2,60.9,58.0,8.33,8.37,5.1,15426
1872,0.52,Very Good,E,VS2,62.8,57.0,5.13,5.16,3.23,1689
426,0.32,Premium,J,VS1,61.0,59.0,4.41,4.4,2.69,574
1744,1.04,Premium,H,SI2,62.6,59.0,6.42,6.46,4.03,4452
1503,0.53,Ideal,D,VS1,61.8,55.0,5.2,5.22,3.22,2052
588,0.85,Premium,H,VS1,61.4,58.0,6.13,6.1,3.74,4234
979,0.71,Ideal,I,SI2,62.5,56.0,5.68,5.73,3.56,1774
1975,0.37,Good,F,SI1,62.4,59.0,4.56,4.59,2.86,616
1392,1.01,Premium,G,VS2,62.3,59.0,6.43,6.38,3.99,5510
721,0.52,Ideal,D,SI1,61.5,57.0,5.17,5.19,3.19,1323
398,0.86,Ideal,G,VS2,60.3,57.0,6.12,6.16,3.72,3763
567,0.75,Ideal,I,SI2,62.1,54.0,5.81,5.85,3.63,1348
436,0.31,Ideal,I,VS2,62.1,55.0,4.39,4.37,2.72,558
192,0.34,Ideal,D,SI1,62.0,55.0,4.46,4.5,2.77,593
1761,0.7,Good,F,VS2,62.8,57.0,5.61,5.66,3.54,3253
787,0.24,Ideal,E,VS1,62.2,56.0,3.96,4.01,2.48,470
1918,2.02,Premium,I,VS2,61.9,58.0,8.14,8.02,4.99,17455
619,0.34,Ideal,F,SI1,60.7,56.0,4.56,4.58,2.78,616
1861,1.59,Very Good,E,SI1,62.4,58.0,7.42,7.48,4.63,12196
1614,0.3,Ideal,G,VVS1,61.3,57.0,4.3,4.34,2.65,789
